mtgjsonid	scryfallId	name
a33b5d94-ecef-5941-9ece-f6f50e0f2dfd	7a5cd03c-4227-4551-aa4b-7d119f0468b5	Ancestor's Chosen
2b5d07b5-65a5-5dba-88cc-f645e5486aaf	82072a1d-c1ab-4b4f-875f-d0591447e0a4	Ancestor's Chosen
2d040ab5-3430-5505-8fd0-a99666a3913e	8f7980d4-da43-4d6d-ad16-14b8a34ae91d	Angel of Mercy
ffa00e95-754e-5484-8e4c-e3b707d4c1d2	b0157252-6949-4f03-a15c-c168512123a8	Angel of Mercy
04914cd6-5007-5f1a-aaab-8be7948c6081	a285aa3f-bcfb-4fc3-8441-85a56c72a3e4	Angelic Blessing
724097a1-b4f7-5a7e-b678-84fefc264519	e8e7f007-2fe3-47c2-aaa3-b8d084053bae	Angelic Blessing
1b6cbae4-9bf9-5a57-ab88-82d6e46481e8	f835ff5d-e03d-4a93-98bb-704eaa1e2b64	Angelic Chorus
21132c2c-b544-52d8-bb8d-4e7c897bd6a9	6fa1f42f-1729-46ea-99c6-015d66c627d4	Angelic Wall
ae105973-d89e-50af-ae07-824c1cd5b1da	e72e26cb-c77a-4ba1-ba3d-e649bfab3d24	Angelic Wall
52b74be2-4538-56cc-aa29-f8032eef5544	ae635d18-5d22-494c-8bc7-5d52f3021cbb	Aura of Silence
a74340fd-65fa-591f-96d0-4be542cb1b2a	407110e9-19af-4ff5-97b2-c03225031a73	Aven Cloudchaser
e2f2e9ab-fa72-5aa7-8c15-c21c925428e1	671cbd0e-b9d8-403a-ad12-f2ddb275b08a	Aven Cloudchaser
6b923192-5dea-549a-a3f2-f5364f4b418c	a4d17394-b9c4-43f6-9a6d-2c7c7ecb1d74	Ballista Squad
a9946549-7bff-5cd3-a9e7-d459d2d2a9c5	c9c17e3b-4d7f-4472-afe1-8e9358b82f2c	Bandage
902b66f8-bb22-59fe-916b-2811e3f4acf4	f0b9b5da-d3fa-4d70-a71a-a2342dbfd527	Beacon of Immortality
86b75f11-6bc5-5bff-bf43-46f89d308a76	d0ae60d0-20d3-452c-9953-e229567c06f5	Benalish Knight
2f81253b-359b-548f-99d9-3d12d6d68454	bccebfdd-85cb-4549-93a4-c0dcd667ee04	Benalish Knight
